	Name	Categories	Extrainfo
Tyler	Edlin	Character Design, Concept Art, Game Art, Fantasy, USA	
Jason	Edmiston	Illustration, Painting, Acrylic, Canada	
William	Eggleston	Photography, USA	
Bob	Eggleton	Illustration, Painting, Fantasy, Sci-Fi, Horror, Cover Art, MTG, USA	
Will	Eisner	Comic, USA	
Jesper	Ejsing	Illustration, Fantasy, DnD, MTG, Denmark	start with 640px or higher + Highres. Fix
	El Greco (Domínikos Theotokópoulos)	Painting, Oil, Portrait, Mythology, Greece, 16th Century	
	El Huervo (Niklas Åkerblad)	Illustration, Painting, Oil, Watercolor, Game Art, Cover Art, Sweden	
Dean	Ellis	Illustration, Painting, Sci-Fi, Cover Art, USA	
Adam	Elsheimer	Painting, Oil, Portrait, Landscape, Mythology, Germany, 16th Century	
Peter	Elson	Illustration, Painting, Sci-Fi, Cover Art, UK	
Gil	Elvgren	Illustration, Pin-Ups, USA	512px + Highres. Fix
Ed	Emshwiller	Illustration, Sci-Fi, USA	
Kilian	Eng	Illustration, Sweden	
Delphin	Enjolras	Painting, Oil, Pastel, Portrait, Nudity, France	
Hans	Erni	Painting, Sculpture, Switzerland	
Maximilian Maria	Ernst	Painting, Oil, Dada, Surrealism, Germany, France	had to use [from:to:when] for H.C.
	Erté (Romain de Tirtoff)	Illustration, Fashion, Cover Art, Art Deco, Russia, France	
Maurits Cornelis	Escher	Illustration, Surrealism, B&W, Netherlands	
Adrianus	Eversen	Painting, Watercolor, Architecture, Netherlands, 19th Century	
Glenn	Fabry	Illustration, Painting, Comic, Acrylic, Gouache, Ink, Cover Art, UK	
Anton	Fadeev	Illustration, Concept Art, Fantasy, Russia	
Shepard	Fairey	Illustration, Street Art, Portrait, USA	
Andy	Fairhurst	Illustration, Character Design, Concept Art, Australia	
John Philip	Falter	Illustration, Painting, Oil, Cover Art, USA	
Lijun	Fang	Painting, Oil, Surrealism, China	
Henri	Fantin-Latour	Painting, Oil, Still Life, Portrait, Botanical, 19th Century, France	
Duncan	Fegredo	Comic, UK	
Lyonel	Feininger	Painting, Landscape, Expressionism, USA	
Andrew	Ferez	Illustration, Fantasy, Russia	
Roberto	Ferri	Painting, Oil, Portrait, Nudity, Mythology, Italy	didn't want to blur everything, so used Dreamshaper
Hugh	Ferriss	Illustration, Architecture, Cityscape, B&W, USA, 19th Century	
